id,date,distance,time,shoe_id
0,8/14/2018,6.59,1:32:12,0
1,8/12/2018,6.23,1:06:32,0
2,8/8/2018,4.1,0:42:31,0
3,8/7/2018,6.17,1:04:34,0
4,8/3/2018,3.04,0:32:56,0
5,8/2/2018,3.17,0:35:17,0
6,7/29/2018,4.15,0:41:54,0
7,7/28/2018,6.14,1:09:08,0
8,7/23/2018,3.72,0:38:46,0
9,7/22/2018,2.74,0:30:51,0
10,7/13/2018,2.55,0:30:22,0
11,7/7/2018,5.11,0:56:30,0
12,7/6/2018,3.11,0:32:58,0
13,7/5/2018,1.96,0:20:23,0
14,7/4/2018,4.13,0:45:28,0
15,7/3/2018,1.38,13:30,0
